Ticket created - Month,Customer,Product Name,Application,Incident Type,Ticket Type,Ticket Category,Incident Description,Incident Severity,Resolution Steps,Resolved by
November,Wheeltek,LOS,Web Application,Product,Request,Request on User modification,,Severity 4,,L1
November,Wheeltek,UP,Web Application,Product,Request,Request on User modification,,Severity 4,,L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on application submit,User wants to know about application,Severity 3,"1. user wants to know about application
2. divya checked and asked for more details
3. Closing the ticket as there is no response from user within 48 hours",L1
November,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User getting error while try to login,Severity 1,"1. User getting error while try to login
2. Divya checked the details and asked to reset password using forgot password option
3. User logged in",L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on payment recording,,Severity 1,,L1
November,Wheeltek,UP,Web Application,Product,Request,Request on User modification,,Severity 4,,L1
November,Wheeltek,Fintech - AIDC,Mobile,Product,Incident,Issue on user login,,Severity 1,,L1
November,Wheeltek,UP,Web Application,Product,Request,Request for user registration,Cashier id to be created.,Severity 4,"1.User reported for new cashier
2. Divya S analyzed and created the new cashier
3. Mail communication sent to user.",L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on application submit,User unable to submit the application,Severity 3,"1. User unable to submit the application
2. Divya checked the details
3. Closing the ticket as there is no response from user within 48 hours",L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on payment recording,,Severity 1,,L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on Dashboard,,Severity 1,,L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on application submit,User having issue in submitting application,Severity 3,"1. User having issue in submitting application
2. Divya checked the details and forwarded to L2
3. l2 team resolved the issue",L1
November,Wheeltek,UP,Web Application,Product,Request,Request on User modification,,Severity 4,,L1
November,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,,Severity 1,,L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on Dashboard,,Severity 1,,L1
November,Wheeltek,UP,Web Application,Product,Request,Request on User modification,,Severity 4,,L1
November,Wheeltek,UP,Web Application,Product,Incident,Issue on application submit,User have issue in submitting application,Severity 3,"1. User having issue related to application
2. Divya checked and asked for more details
3. Closing the ticket as there is no response from user within 48 hours",L1
November,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User facing password issue,Severity 1,"1. User facing password issue
2. Divya checked in SSP and asked the user to reset password and login
3. Confirmation was given to the user",L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on payment recording,,Severity 3,,L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on application submit,User having issue related to application,Severity 3,"1. User having issue related to application
2. Divya checked and asked for more details
3. Closing the ticket as there is no response from user within 48 hours",L1
November,Wheeltek,UP,Web Application,Product,,,,,Awaiting info from user,L1
November,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,,Severity 1,,L1
November,Wheeltek,UP,Web Application,Product,Request,request for new role,User requested for change of Customer CB Number,Severity 4,,L1
November,Wheeltek,LOS,Web Application,Product,Request,,user requested for credit investigation form,Severity 4,,L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on payment recording,,Severity 1,,L1
November,Wheeltek,UP,Web Application,Product,Request,request for module access,Request for cashier account creation,Severity 4,"1. User requested for cashier account creation
2. Divya S verified and created the account
3. the Account details shared with user",L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on user login,User facing account on hold,Severity 3,"1.User facing account on hold
2. Divya S requested for error screenshot",L1
November,Wheeltek,LOS,Web Application,Product,Incident,issue on module access,user not able to complete application,Severity 3,"1.User facing application submission 
2. Divya S requested for screen shot
3. User shared the screen shots",L1
November,Wheeltek,LOS,Web Application,Product,Request,request for new role,user request manager access,Severity 4,"1.User requested for manager access
2. Divya S analysed the request",L1
November,Wheeltek,UP,Web Application,Product,Request,Request for user registration,Requested for ticket id,Severity 4,"1.User requested for ticket id
2. Divya S responded with ticket id",L1
November,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User getting error as suspended while they try to login,Severity 3,,L1
November,Wheeltek,Denali,Mobile,Product,Request,request for module access,user cannot log in,Severity 4,"1.User facing login in issue
2.Divya S analysed and requested user to contact manager for registering",L1
November,Wheeltek,UP,Web Application,Product,Request,Request on User modification,user requested for adding new branch,Severity 4,"1.User requested for adding new branch
2 Divya S analysed the request and asked for details
3. User provided more details",L1
November,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User getting error as suspended while try to login,Severity 3,,L1
November,Wheeltek,Denali,Web Application,Product,Incident,Issue on user login,,Severity 1,,L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on payment recording,,Severity 1,,L1
November,Wheeltek,LOS,Web Application,Product,Request,Request on User modification,,Severity 4,,L1
November,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,,Severity 1,,L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on payment recording,,Severity 1,,L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on payment recording,,Severity 1,,L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on payment recording,,Severity 1,,L1
November,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,,Severity 1,,L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on payment recording,User wants to edit an application,Severity 3,"1. User wants to edit an application
2. divya checked the details asked for more information
3. Closing the ticket as there is no response from user within 48 hours",L1
November,Wheeltek,Denali,Web Application,Product,Incident,Issue on user login,,Severity 1,,L1
November,Wheeltek,Denali,Web Application,Product,Incident,Issue on user login,,Severity 1,,L1
November,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,,Severity 1,,L1
November,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,,Severity 1,,L1
November,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,,Severity 1,,L1
November,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User getting error as suspended while try to login,Severity 3,,L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on payment recording,,Severity 1,,L1
November,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,,Severity 1,,L1
November,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User getting error as suspended while try to login,Severity 3,,L1
November,Wheeltek,LOS,Web Application,Product,Request,Request on User modification,,Severity 4,,L1
November,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request for user registration,Manager wants to create a acashier account,Severity 4,"1. manager wants to create cashier account
2. divya checked the details and created via SSP
3. Credentials shared to user via live chat",L1
November,Wheeltek,IMD,Web Application,Product,Incident,Issue on Dashboard,User wants to access IMD,Severity 1,,L1
November,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request on User modification,Manager wants to create a cashier account,Severity 4,"1. User wants to create a cashier account
2. divya checked the details and created cashier account via SSP
3. Credentials shared to user via live chat",L1
November,Wheeltek,Denali,Mobile,Product,Incident,Issue on user login,User wanst to register an account,Severity 3,"1. User wants to register account
2. Divya checked the details and checked in SSP
3. Asked user to contact admin manager for registration",L1
November,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on payment recording,,Severity 1,,L1
November,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on user login,Cashier approved transaction but couldn't find it in EC pay,Severity 3,,L1
November,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on user login,Cashier getting error as invalid credentials while try to login,Severity 3,"1. user getting error as invalid credentials while try to login
2. Divya checked and asked to loin with the password 123456
3. user logged in",L1
November,Wheeltek,Denali,Mobile,Product,Incident,Issue on user login,User wants to create a login,Severity 1,,L1
November,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User have login issues,Severity 3,"1. user have login issues
2. Divya checked the details
3. email send to user with the correct password",L1
November,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on payment recording,Cashier approved transaction but couldn't find it in EC pay,Severity 3,"1. Cashier approved transaction but couldn't find it in EC pay
2. Divya checked the details asked for more details via email
3. Closing the ticket since there is no response from user within 48 hours",L1
November,Wheeltek,Denali,Mobile,Product,Incident,Issue on user login,User wants  to create a login,Severity 1,,L1
November,Wheeltek,Denali,Mobile,Product,Incident,Issue on user login,User wants to create a login issue,Severity 1,,L1
November,Wheeltek,Denali,Mobile,Product,Incident,Issue on user login,User wants to create a denali login,Severity 1,,L1
November,Wheeltek,Denali,Mobile,Product,Incident,Issue on user login,User wants to create a new login,Severity 1,,L1
November,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User getting error as invalid credentials while try to login,Severity 3,,L1
November,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User getting error as invalid credentials  while try to login,Severity 3,,L1
November,Wheeltek,IMD,Web Application,Product,Incident,Issue on Dashboard,User wants to access IMD,Severity 1,,L1
November,Wheeltek,UP,Web Application,Product,Incident,Request on User modification,,Severity 3,,L1
November,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on payment recording,Cashier approved transaction but couldn't find it in EC pay,Severity 1,"1. Cashier approved transaction but couldn't find it in EC pay
2. Divya checked the details and forwarded to L2
3. L2 team resolved the issue ans the same has been communicated to user via email",L1
November,Wheeltek,Denali,Mobile,Product,Incident,Issue on user login,User wants to create a new user,Severity 1,,L1
November,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on user login,Cashier's getting error as contact admin while they try to login,Severity 3,"1. User getting error as contact admin while they try to login
2. Divya checked the details and send a reset password link via SSP
3. Informed manager about the same",L1
November,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User getting error as invalid credentials while try to login,Severity 1,,L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on payment recording,User wants to update birthday in an application,Severity 3,"1. user wants to update birthday in an application
2. divya checked the details and asked for more details
3. Closing the ticket as there is no response from user within 48 hours",L1
November,Wheeltek,LOS,Web Application,Product,Training,Training on the Application ,Awaiting info from user,Severity 1,Awaiting info from user,L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on application submit,User wants to know the status of an application,Severity 3,"1. user wants to know the status of an application
2. divya checked and asked for more details
3. Closing the ticket since there is no response from user within 48 hours",L1
November,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User have login issues,Severity 3,"1. user have login issues
2. divya checked the details and forwarded to L2
3. L2 team asked to contact Wheeltek team and same has been communicated to user",L1
November,Wheeltek,LOS,Web Application,User Training,Training,Training on the Application ,User wants to know about the application,Severity 4,"1. user wants to know about application
2. Divya checked the details
3. Details provided to user",L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on payment recording,User wants to know about an appliaction,Severity 3,"1. User wants to know about an application
2. Divya checked the details and asked for more details
3. Closing the ticket as there is no response from user within 48 hours",L1
November,Wheeltek,UP,Web Application,Product,Incident,issue on module access,User facing Issue on dashboard,Severity 1,"1-User asked for the access of BK dashboard
2-Checked details and asked to clear cache
3-Issue resolved",L1
November,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User having login issues,Severity 3,"1. User having login issues
2. Divya checked the details
3. asked user to login with the password 123456",L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on Dashboard,User wants to update manager,Severity 3,"1. User wants to update manager
2. Divya checked the details and asked for more details via email
3. Closing the ticket as there is no response from user within 48 hours",L1
November,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on payment recording,Cashier approved transaction but couldn't find it in EC pay,Severity 3,"1. Cashier approved transaction but couldn't find in it EC pay
2. DDivya checked the details and asked for more details
3. Closing the ticket since there is no response from user within 48 hours",L1
November,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request for user registration,Manager requested for a cashier account creation,Severity 4,"1. Manager requested for a cashier account creation
2. Divya checked the details and created cashier account via SSP
3. email send to manager for the credentials",L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on payment recording,User wants to edit an application,Severity 3,"1. User wants to edit an application
2. Divya checked the details and asked for more info
3. Closing the ticket as there is no response from user within 48 hours",L1
November,Wheeltek,Fintech - AIDC,Web Application,User Training,Training,Training on Payment Recording,Need user manual on how to deposit the FCA,Severity 4,Provided user manual,L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on Dashboard,User having issue in approving application,Severity 3,"1. User having issue in approving application
2. Divya checked the details and asked for more details
3. Closing the ticket since we have received the complete details within 48 hours",L1
November,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request for user registration,User wants to create cashier account,Severity 4,"1. User wants to create cashier account
2. dhivya checked and created cashier account vi assp
3. Confirmation send to manager",L1
November,Wheeltek,UP,Web Application,Product,Incident,Issue on Dashboard,User does not have access to dashboard,Severity 3,"1. User does not have access to dashboard
2. Divya checked the details and asked for more details
3. Closing the ticket as there is no response from user within 48 hours",L1
November,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on payment recording,Cashier approved transcation but couldn't find it in ecpay,Severity 3,"1. cashier approved transaction but couldn't find it in Ecpay
2. Divya checked and asked for more details
3. Closing the ticket as there is no response from user",L1
November,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on payment recording,Cashier approved transaction but couldn't find it in EC pay,Severity 1,"1. Cashier approved transaction but couldn't find it in EC pay
2. Divya checked the details and asked for details via email
3. Closing the ticket as there is no response from user",L1
November,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on payment recording,Cashier approved transaction but couldn't find it in EC pay,Severity 3,"1. Cashier approved transaction but couldn't find it in EC pay
2. Divya checked the details 
3. Closing the ticket since we haven't received the complete details within 48 hours",L1
November,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User having error while try to login,Severity 3,"1. User having login issues
2. Divya checked the details
3. Asked user to login in the production link",L1
November,Wheeltek,LOS,Web Application,Product,Request,Request for user registration,User wants the access of BK,Severity 4,"1. User wants the access of BK
2. Divya checked the details and forwarded to L2
3. L2 team asked to contact wheeltek team and same has been communicated to user",L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on application submit,User wants to know about an application,Severity 3,"1. User wants to know about an application
2. Divya checked the details and asked for more details
3. Closing the ticket as there is no response from user within 48 hours",L1
November,Wheeltek,LOS,Web Application,Product,Request,Request on User modification,User wants to update branch,Severity 4,"1. User wants to update branch
2. Divya checked the details and asked for more information
3. Closing the ticket as there is no response from user within 48 hours",L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on payment recording,User wants to know the status of an application,Severity 3,"1. User wants to know the status of the application
2. Divya checked and asked for application ID
3. Closing the ticket as there is no response from user within 48 hours",L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on Dashboard,User having issue in application,Severity 3,"1. User having issue in LOS
2. Divya checked and asked for more details
3. Closing the ticket as there is no response from user within 48 hours",L1
November,Wheeltek,LOS,Web Application,Product,Incident,,Issue on Payment recording,,Issue on payment recording,L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on payment recording,Issue on payment recording,Severity 3,Issue on payment,L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on payment recording,Issue on payment recording,Severity 3,Issue on payment recording,L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on payment recording,Issue on payment recording,Severity 3,Issue on payment recording,L1
November,Wheeltek,LOS,Web Application,User Training,Training,Training on Payment Recording,,Severity 4,Training,L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on payment recording,User cannot upload images,Severity 3,"1. User cannot upload images
2. divya checked the details and asked for more information
3. closing the ticket as there is no response from user within 48 hours",L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on payment recording,Picture upload issue in LOS,Severity 3,"1. Picture upload issue in LOS
2. divya checked and asked for more details
3. Closing the ticket as there is no response from user within 48 hours",L1
November,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request for user registration,Manager wants to create cashier account,Severity 4,"1. manager wants to create cashier account
2. Divya checked and created cashier account
3. Credentials shared to manager",L1
November,Wheeltek,UP,Web Application,Product,Request,Request for user registration,Request for New cashier registration,Severity 4,1-Request for New Cashier Registration,L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on application submit,Awaiting info from user,Severity 1,Awaiting Info from user,L1
November,Wheeltek,Fintech - AIDC,Mobile,User Training,Training,Training on Payment Recording,User wants to knwo about transaction,Severity 4,"1. User wants to know about transaction
2. Divya checked the details and asked for more details 
3. Closing the ticket as there is no response from user in 48 hours",L1
November,Wheeltek,UP,Web Application,Product,Incident,Issue on Dashboard,User facing Application Issue,Severity 3,"1. User having loading issue in dashboard
2. Divya checked the details
3. Issue has been resolved post clearing cache",L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on payment recording,User want to know the status of an application,Severity 3,"1. User want to know the status of an application
2. Checked and asked for more details
3. Closing the ticket as there is no response from user within 48 hours",L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on application submit,User wants to edit an application,Severity 3,"1. User wants to edit an application
2. divya checked and asked for more details
3.Closing the ticket as there is no response from user within 48 hours",L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on payment recording,User wants to know the status of the application,Severity 3,"1. User wants to know the status of the application
2. Checked and asked for more details
3. Closing the ticket as there is no response from user within 48 hours",L1
November,Wheeltek,UP,Web Application,Product,Training,Training on the Application ,Awaiting info from user,Severity 4,Awaiting info from user,L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on user login,User have login issues,Severity 3,"1. User have login issues
2. divya checked the details and asked for more information
3. Closing the ticket as there is no response from user within 48 hours",L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on Dashboard,User getting auto logged out while clicking on LOS tab,Severity 3,"1. User getting auto logged out while clicking on LOS tab
2. Checked and asked for more details
3. closing the ticket as there is no response from user within 48 hours",L1
November,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on payment recording,Cashier approved transaction but couldn't find it in ECpay,Severity 3,"1.Cashier approved transaction but couldn't find it in ECpay
2. Checked the details and asked for more information
3.Closing the ticket since we haven't received complete details within 48 hours",L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on payment recording,User wants to know status of an application,Severity 3,"1. User wants to know status of an application
2. Checked and asked for more details
3. closing the ticket as there is no response from user within 48 hours",L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on application submit,User wants to edit an application,Severity 3,"1. User wants to edit an application
2. Divya checked the details and asked for more details
3. Closing the ticket as there is no response from user within 48 hours",L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on Dashboard,,Severity 1,Awaiting info from user,L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on application submit,User having issue on dashboard,Severity 1,"1. User having issue on dashboard
2. Dhivya checked in SSP and there was not error
3. Confirmation mail was sent to the user that its just a pop up message",L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on Dashboard,User getting pop up message as number used while filing an application,Severity 3,"1. User getting pop up message as number used while filing an application
2. divya checked the details and asked for more details
3. Details given to user via chat",L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on user login,User facing login issues,Severity 3,"1. User facing login issues
2. Dhivya checked in SSP and asked the user to contact admin manager to resolve the issue
3. Confirmation was given to the user",L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on application submit,User wants to know about comaker,Severity 3,"1. User wants to know about comaker
2. Divya checked and asked for more details
3. Closing the ticket as there is no response from user within 48 hours",L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on payment recording,User after submitting the application details are changing,Severity 3,"1. User after submitting the application details are changing
2. Divya checked the details and asked for more details
3. Closing the ticket as there is no response from user within 48 hours",L1
November,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User facing login issues,Severity 1,"1. User facing login issues
2. Dhivya checked in SSP and asked the user to login with registered email ID and password
3.confirmation was given to the user",L1
November,Wheeltek,UP,Web Application,Product,Training,Training on Payment Recording,User wants to register in the portal,Severity 4,"1. user wants to know how to register in portal
2. Dhivya checked in SSP and asked the user to contact admin manager
3. Confirmation was given to the user",L1
November,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request for user registration,User wants to create a new cashier account,Severity 4,"1. User wants to create a new cashier account 
2. Dhivya checked in SSP and created a new user account
3. Confirmation was given to the user",L1
November,Wheeltek,UP,Web Application,Product,Training,Training on the Application ,user wants to know how to register in portal,Severity 4,"1. user wants to know how to register in portal
2. Dhivya checked in SSP and asked the user to contact admin manager
3. Confirmation was given to the user",L1
November,Wheeltek,LOS,Web Application,Product,Request,Request on User modification,User wants to update branch,Severity 4,"1. User wants to update branch
2. divya checked and asked for more details
3. Closing the ticket as there is no response from user within 48 hours",L1
November,Wheeltek,UP,Web Application,Product,Incident,,,Severity 4,Awaiting info from user,L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on application submit,Application details got changed post submission,Severity 3,"1. Application details got changed post submission
2. Divya checked and asked more details 
3. Closing the ticket as there is no response from user within 48 hours",L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on payment recording,User wants to know status of an application,Severity 3,"1. User wants to know status of an application
2. Checked and asked for more details
3. closing the ticket as there is no response from user within 48 hours",L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on Dashboard,User having issue with CB number,Severity 3,"1. User having issue with CB number
2. Divya checked the details
3. Closing ticket since we haven't received complete details within 48 hours",L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on application submit,User facing issues in application,Severity 4,,L1
November,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User facing login issues,Severity 1,"1. User facing login issues
2. Dhivya checked in SSP and asked the user to login with 123456",L1
November,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on Dashboard,user facing issues on cashier dashboard,Severity 1,"1. user facing issues on cashier dashboard
2. Dhivya checked in SSP and raised the issue to L2 team
3. Confirmation was given to the user on 9909",L1
November,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,user facing login issues,Severity 1,"1. user facing login issues
2. Dhivya checked in SSP and asked the user to login in production link
3. Confirmation was given to the user",L1
November,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,user facing login issues,Severity 1,"1. user facing login issues
2. Dhivya checked in SSP and asked the user to login with password as 123456
3. confirmation was given by the user",L1
November,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User facing login issues,Severity 1,"1. User facing login issues
2. Dhivya checked in SSP and asked the user to try password 123456 
3. Confirmation was given to user",L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on application submit,User wants to edit an application,Severity 3,"1. User wants to edit an application
2. Divya checked the details and asked for more information
3. Closing the ticket as there is no response from user within 48 hours",L1
November,Wheeltek,LOS,Web Application,Product,Training,Training on the Application ,User facing picture upload issues,Severity 1,"1. User facing picture upload issues
2. Dhivya checked in SSP and asked the user to click on picture and upload button
3. Confirmation was given to the user",L1
November,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Request for user registration,user asked for new registration,Severity 4,"1. user asked for new registration
2. Dhivya checked in SSP and asked the user to connect with admin manager
3. confirmation was given to the user",L1
November,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on Dashboard,user facing issues on cashier dashboard,Severity 1,"1. user facing issues on cashier dashboard
2. Dhivya checked in SSP and asked the user to logoff and login as the issue has been resolved
3. Confirmation was given to the user",L1
November,Wheeltek,Fintech - AIDC,Mobile,Product,Incident,Issue on payment recording,User having issue in recording payment,Severity 3,"1. User have issue in recording payment
2. Divya checked the details
3. Closing the ticket since there is no response from user within 48 hpurs",L1
November,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on payment recording,Cashier approved transaction but couldn't find it in ECpay,Severity 3,"1. Cashier approved transaction but couldn't find it in ECpay
2. Divya checked the details
3. Closing the ticket as there is no response from user within 48 hours",L1
November,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User have login issues,Severity 3,"1. User have login issues
2. Divya checked the details
3. Closing the ticket as there is no response from user within 48 hours",L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on payment recording,User says the details are missing in the application,Severity 3,"1. User says the details are missing in the application
2. Dhivya checked in SSP and raised the issue to L2 team
3. L2 team resolved the issue and mail was sent to the user",L1
November,Wheeltek,Denali,Web Application,Product,Incident,Issue on user login,User facing login issues,Severity 3,"1. User facing login issues
2. Dhivya checked in SSP and asked the user to contact admin manager 
3. Confirmation was given to the user",L1
November,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User facing login issues,Severity 3,"1. User facing login issues 
2. Dhivya checked in SSP and asked the user to use password as 123456
3. Confirmation was given to the user",L1
November,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,user facing login issues,Severity 3,"1. user facing login issues
2. Dhivya checked in SSP and asked the user to contact admin manger 
3. confirmation was given to the user",L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on user login,User facing login issues,Severity 3,"1. User facing login issues
2. Dhivya checked in SSP and asked the user to login in production link
3. confirmation was given to the user",L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on application submit,User facing Issue on application submit,Severity 1,"1-User facing Issue on application submit
2-Divya checked and asked for more details
3. Closing the ticket as there is no response from user within 48 hours",L1
November,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User have login issues,Severity 3,"1. User have login issues
2. Divya checked the details and asked to login with default password
3. user was able to login",L1
November,Wheeltek,LOS,Web Application,Product,,,,,Email Sent,L1
November,Wheeltek,LOS,Web Application,Product,Incident,,,Severity 4,Awaiting info from user,L1
November,Wheeltek,LOS,Web Application,User Training,Training,Training on Payment Recording,Test ticket,Severity 4,Test ticket,L1
November,Wheeltek,LOS,Web Application,Product,Training,Training on Payment Recording,User wants to check why application not approved,Severity 4,"1. User wants to check why application not approved
2. Dhivya checked in SSP and asked the user to connect with admin manager
3. Confirmation was given to the user",L1
November,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User facing login issues,Severity 3,"1. User facing login issues
2. Dhivya checked in SSP and asked the user to login with email: dummy_Emily_Vinasoy@dummy.com and password: 123456
3. Confirmation was given to the user",L1
November,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on payment recording,User facing sync issue,Severity 3,"1. User facing sync issue
2. Dhivya checked in SSP and informed user to contact admin manager
3. Confirmation was given to the user",L1
November,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User was unable to login,Severity 3,"1. user was unable to login
2. divya checked the details and asked to login in the production url
3. user was able to login",L1
November,Wheeltek,Denali,Mobile,Product,Incident,Issue on user login,User wants to get resgistered,Severity 3,"1. User wants to get registered
2. Divya checked te details 
3. asked user to contact admin manager to get regsitered",L1
November,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User facing login issue,Severity 3,"1. User facing login issue
2. Dhivya checked in SSP and asked the user to contact admin manager
3. issue resolved on 9634 hence confirmation was given to the user",L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on Dashboard,user application details missing after submission,Severity 3,"1. user application details missing after submission
2. Dhivya checked in SSP and update the user that issue has been resolved and mail has been sent
3. confirmation was given by the user",L1
November,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User wants to know the email ID of BK,Severity 3,"1. User wants to know the email id of BK
2. Divya checked and asked for more details
3. Closing the ticket as there is no response from user within 48 hours",L1
November,Wheeltek,LOS,Web Application,User Training,Training,Training on Payment Recording,Test ticket,Severity 4,Test ticket,L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on application submit,08:26,Severity 3,"1. User wants to edit an application
2. Dhivya checked the details
3. Closing the ticket as there is no response from user within 48 hours",L1
November,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User facing login issues,Severity 3,"1. User facing login issues
2. Dhivya checked in SSP and informed the user with correct details
3. Confirmation mail was sent to user",L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on application submit,User unable to submit the applications,Severity 3,"1. User unable to submit the applications
2. Dhivya checked in SSP and asked the user to clear history and try again
3. Confirmation was given to the user",L1
November,Wheeltek,LOS,Web Application,Product,Incident,Issue on payment recording,User facing mandatory fields issue,Severity 3,"1. User facing mandatory fields issue
2. Dhivya checked in SSP and asked the user to delete browsing history and try again 
3. Confirmation was given to the user",L1
